,id,host_is_superhost,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,bedrooms,beds,price,availability_365,number_of_reviews,calculated_host_listings_count,reviews_per_month,bathrooms,puntuacion_media
13891,39658775,1,1,San Isidro,Carabanchel,Entire apartment,Entire home/apt,1.0,2.0,46.0,142,3,21,0.18,1.0,5.0
13893,39659258,1,1,San Isidro,Carabanchel,Entire apartment,Entire home/apt,1.0,2.0,51.0,147,3,21,0.19,1.0,5.0
13895,39669138,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,2.0,53.0,1,3,7,0.19,1.0,4.0
13896,39669142,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,2.0,120.0,71,7,7,0.41,1.0,3.25
13897,39669464,1,1,Justicia,Centro,Private room in apartment,Private room,1.0,2.0,61.0,0,8,1,0.45,1.0,5.0
13898,39670157,0,1,Castellana,Salamanca,Entire apartment,Entire home/apt,1.0,1.0,106.0,0,2,2,0.13,1.5,5.0
13899,39670531,1,0,Hellín,San Blas - Canillejas,Private room in apartment,Private room,1.0,0.0,30.0,365,18,1,1.02,0.0,4.285714285714286
13900,39670684,1,1,San Isidro,Carabanchel,Entire apartment,Entire home/apt,1.0,2.0,52.0,35,3,21,0.18,1.0,5.0
13901,39671405,1,1,San Isidro,Carabanchel,Entire apartment,Entire home/apt,1.0,3.0,54.0,37,4,21,0.24,1.0,4.75
13902,39672469,0,1,Almendrales,Usera,Private room in apartment,Private room,1.0,2.0,50.0,180,2,3,0.11,Nan,4.5
13903,39672576,1,0,Timón,Barajas,Entire guest suite,Entire home/apt,1.0,4.0,48.0,253,29,1,1.63,1.0,4.666666666666667
13904,39682849,0,0,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,4.0,66.0,132,13,1,0.75,1.0,4.555555555555555
13905,39683625,1,0,Palacio,Centro,Entire apartment,Entire home/apt,2.0,4.0,80.0,148,15,1,0.89,1.0,4.714285714285714
13906,39684043,0,0,Palacio,Centro,Private room in apartment,Private room,1.0,1.0,39.0,179,30,1,1.69,1.0,4.782608695652174
13907,39684538,0,1,Ibiza,Retiro,Entire apartment,Entire home/apt,1.0,2.0,52.0,122,13,1,0.75,1.0,4.769230769230769
13909,39685131,1,0,Valdefuentes,Hortaleza,Private room in apartment,Private room,1.0,1.0,27.0,363,12,2,0.68,2.0,4.636363636363637
13913,39687865,0,0,Embajadores,Centro,Private room in apartment,Private room,1.0,1.0,26.0,89,6,3,0.34,1.5,4.5
13915,39694836,0,1,Fontarrón,Moratalaz,Private room in apartment,Private room,1.0,2.0,30.0,91,7,1,0.4,1.0,4.666666666666667
13916,39696249,0,1,Numancia,Puente de Vallecas,Private room in apartment,Private room,1.0,2.0,25.0,89,1,1,0.07,2.0,4.0
13917,39705647,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,1.0,70.0,197,19,1,1.11,1.0,4.6875
13918,39710402,0,0,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,1.0,90.0,132,9,1,0.51,1.0,4.875
13919,39710763,0,0,Palacio,Centro,Entire apartment,Entire home/apt,1.0,1.0,56.0,335,14,1,0.87,1.0,4.2727272727272725
13920,39710829,0,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,2.0,46.0,112,70,7,3.95,1.0,4.517241379310345
13922,39712610,0,1,Cuatro Caminos,Tetuán,Entire loft,Entire home/apt,1.0,1.0,50.0,0,10,1,0.58,1.0,4.9
13923,39715110,0,1,Palomeras Sureste,Puente de Vallecas,Private room in apartment,Private room,1.0,1.0,34.0,1,9,2,0.51,1.0,4.888888888888889
13924,39716505,0,0,San Andrés,Villaverde,Private room in apartment,Private room,1.0,1.0,26.0,365,3,4,0.17,1.0,4.0
13925,39716913,0,1,Palomeras Sureste,Puente de Vallecas,Private room in apartment,Private room,1.0,1.0,24.0,197,5,2,0.28,1.0,5.0
